Protein A,Protein B
AKAP9,PPP2R1B
AKAP9,PPP2R3A
AKAP9,PRKAR2A
AKAP9,PRKAR2B
AKAP9,PRKCE
AKAP9,TACC3
AKAP9,TRIP10
AKAP9,TSNAX
AKIRIN2,CCDC85B
AKIRIN2,LNX1
AKR1C3,ACIN1
AKR1C3,C1orf103
AKR1C3,UBE2W
AKR1C3,ZHX1
AKR7A2,AKR7A3
AKT1,AHNAK
AKT1,AKT1S1
AKT1,APLP2
AKT1,APPL1
AKT1,AR
AKT1,ATXN1
AKT1,BAD
AKT1,BCL2L11
AKT1,BRAF
AKT1,BRCA1
AKT1,CASP9
AKT1,CCDC88A
AKT1,CDKN1A
AKT1,CDKN1B
AKT1,CHEK1
AKT1,CHUK
AKT1,CREB1
AKT1,DLC1
AKT1,EIF4EBP1
AKT1,EP300
AKT1,ESR1
AKT1,ESR2
AKT1,EZH2
AKT1,FANCA
AKT1,FOXO1
AKT1,FOXO3
AKT1,FOXO4
AKT1,GAB2
AKT1,GATA1
AKT1,GATA2
AKT1,GSK3A
AKT1,GSK3B
AKT1,HIST2H2BE
AKT1,HMOX1
AKT1,HSP90AA1
AKT1,HTT
AKT1,IKBKB
AKT1,IMPDH2
AKT1,IRAK1
AKT1,IRS1
AKT1,ITGB3
AKT1,KRT10
AKT1,MAP2K4
AKT1,MAP3K11
AKT1,MAP3K5
AKT1,MAP3K8
AKT1,MDM2
AKT1,MDM4
AKT1,METTL1
AKT1,MST1R
AKT1,MTOR
AKT1,NCF1
AKT1,NOS3
AKT1,NR4A1
AKT1,PAK1
AKT1,PDE3B
AKT1,PDK2
AKT1,PEA15
AKT1,PFKFB2
AKT1,PHB2
AKT1,PIK3R1
AKT1,PPARGC1B
AKT1,PRKDC
AKT1,PTEN
AKT1,PTPN1
AKT1,RAB3D
AKT1,RAC1
AKT1,RAF1
AKT1,S1PR1
AKT1,SH2B2
AKT1,SMAD2
AKT1,SMAD3
AKT1,SMAD4
AKT1,SMAD7
AKT1,STAT1
AKT1,TERT
AKT1,TSC2
AKT1,WNK1
AKT1,XIAP
AKT1,YAP1
AKT1,YBX1
AKT1,YWHAZ
AKT1S1,MTOR
AKT2,AKT1
AKT2,AKT1S1
AKT2,CHUK
AKT2,ESR1
AKT2,FOXO4
AKT2,FSHR
AKT2,HSP90AA1
AKT2,RAB3D
AKT2,SLC2A4
AKT2,TSC2
AKT2,XIAP
AKT3,TCL1A
AKTIP,AKT1
AKTIP,FAM160A2
AKTIP,GTF3C1
AKTIP,HOOK2
AKTIP,KIAA1377
AKTIP,PDPK1
AKTIP,POLA2
AKTIP,VPS16
AKTIP,VPS18
AKTIP,VPS41
ALAS2,RABGGTB
ALB,AGA
ALB,F7
ALB,KLK3
ALB,LUC7L2
ALB,RYR2
ALB,ST13
ALDH2,C14orf1
ALDH2,C2orf18
ALDH2,CRMP1
ALDH2,EIF6
ALDH2,FAM45B
ALDH2,IGSF21
ALDH2,UNC119
ALDH5A1,ABAT
ALDH7A1,RECQL5
ALDOB,ATP6V1E1
ALG10,KCNH1
ALG10,KCNH2
ALG10B,KCNH2
ALG9,H2AFX
ALK,PTPRZ1
ALOX12,ITGB4
ALOX12,KRT5
ALOX12,LMNA
ALOX12,TRIB1
ALOX12B,KRT5
ALOX12B,LMNA
ALOX5,ACTB
ALOX5,GRB2
ALOX5AP,ALOX5
ALPL,MAP3K14
ALPL,TRAF2
ALPL,TRAF3
ALPPL2,ALPP
ALS2CL,RAB5A
ALS2CR11,CCDC85B
ALS2CR8,CDKN2A
ALS2CR8,LMO3
ALX1,CREBBP
ALX1,IPO13
ALX4,ALX1
ALX4,LEF1
AMBP,A2M
AMBP,ALB
AMBP,FN1
AMBRA1,BECN1
AMFR,UBE2D2
AMFR,UBE2G2
AMFR,VCP
AMH,AMHR2
AMH,EGFR
AMHR2,TGFBR1
AMIGO2,AMIGO1
AMIGO3,AMIGO1
AMIGO3,AMIGO2
AMOT,MAGI1
AMOT,PLG
AMPH,CLTC
AMPH,SYN1
AMPH,VTN
AMY1A,AKAP1
AMY1A,AKAP8
AMY1A,MUC7
ANAPC10,ANAPC7
ANAPC10,CDC16
ANAPC10,CDC20
ANAPC10,CDC23
ANAPC10,LRP1
ANAPC10,SMAD2
ANAPC10,SMAD3
ANAPC11,ANAPC10
ANAPC11,ANAPC2
ANAPC11,CDC16
ANAPC11,UBE2C
ANAPC2,CDC20
ANAPC2,CDC26
ANAPC2,CDC27
ANAPC2,FZR1
ANAPC2,UBE2C
ANAPC5,PABPC1
ANAPC5,SMURF1
ANAPC5,SMURF2
ANAPC5,TGFBR1
ANAPC7,ANAPC2
ANAPC7,BUB1B
ANAPC7,CDC16
ANAPC7,CDC20
ANAPC7,CDC27
ANAPC7,CDH1
ANG,ACTC1
ANG,ACTN2
ANG,ATP6AP1
ANG,PTEN
ANG,TDGF1
ANGPT1,ITGA5
ANGPT1,TEK
ANGPT2,ANGPT1
ANGPT2,TEK
ANGPT4,TEK
ANGPTL1,NR2F6
ANGPTL1,TEK
ANGPTL3,ITGA5
ANGPTL3,ITGAV
ANGPTL3,ITGB3
ANK1,CD44
ANK1,ITPR3
ANK1,RHAG
ANK1,SLC4A1
ANK1,SLC4A3
ANK1,SPTAN1
ANK2,DNAJB1
ANK2,SPTBN1
ANK3,FADD
ANK3,FAS
ANK3,HOOK1
ANK3,PIK3R1
ANK3,SCN1B
ANKHD1,GRINL1A
ANKRA2,LRP2
ANKRD1,CASQ2
ANKRD1,MYPN
ANKRD1,TTN
ANKRD11,HDAC3
ANKRD11,HDAC4
ANKRD11,HDAC5
ANKRD11,NCOA2
ANKRD11,RAC3
ANKRD11,SRC
ANKRD2,PML
ANKRD2,TCAP
ANKRD2,TP53
ANKRD2,TTN
ANKRD2,YBX1
ANKRD23,MYPN
ANKRD23,TTN
ANKRD6,AXIN2
ANKRD6,CSNK1E
ANKS1A,YWHAG
ANKS1B,LRP2
ANKS4B,USH1C
ANKZF1,NRSN2
ANLN,7-Sep
ANP32A,APEX1
ANP32A,ATXN1
ANP32A,E4F1
ANP32A,HSPB3
ANP32A,KPNA6
ANP32A,MAP1B
ANP32A,NSFL1C
ANP32A,PTPRC
ANP32A,XPO1
ANP32B,XPO1
ANPEP,TM4SF1
ANTXR1,BCL2L1
ANTXR1,BRCA1
ANTXR1,HDAC2
ANTXR2,COL4A2
ANTXR2,COL4A3
ANTXR2,COL4A4
ANXA1,EGFR
ANXA1,FPR1
ANXA1,KRT8
ANXA11,ALG2
ANXA11,ENO2
ANXA11,HNRNPH3
ANXA11,PDCD6
ANXA11,PLSCR1
ANXA11,S100A6
ANXA11,SRI
ANXA13,NEDD4
ANXA2,APOH
ANXA2,CD99
ANXA2,CDC42
ANXA2,CEACAM1
ANXA2,CTSB
ANXA2,GRB2
ANXA2,S100A10
ANXA2,S100A6
ANXA3,EMG1
ANXA3,IGSF21
ANXA3,TP53
ANXA3,UBR1
ANXA3,UNC119
ANXA5,ACTG1
ANXA5,COL10A1
ANXA5,COL2A1
ANXA5,EIF4G1
ANXA5,FDFT1
ANXA5,SUPT4H1
ANXA6,A2M
ANXA6,CDC73
ANXA6,TPD52
ANXA7,PDCD6
ANXA7,PRKCA
ANXA7,PRKCB
ANXA7,PRKCG
ANXA7,S100A10
ANXA7,SRI
ANXA9,ARHGEF10L
ANXA9,NDUFA4L2
AOC3,VAV1
AP1AR,GGA1
AP1B1,ARF1
AP1B1,ARF5
AP1B1,ARRB2
AP1B1,ATF7IP
AP1B1,ATM
AP1B1,BUB1
AP1B1,CLTC
AP1B1,SHBG
AP1G1,AP1AR
AP1G1,AP1B1
AP1G1,AP1S1
AP1G1,AP1S2
AP1G1,ARF1
AP1G1,CLTC
AP1G1,DNER
AP1G1,MAP1A
AP1G1,SPTB
AP1G1,SYP
AP1G2,AP1S1
AP1G2,AP1S2
AP1M1,$ZBTB8$
AP1M1,CTLA4
AP1M1,FXR2
AP1M1,GAK
AP1M1,LAMP1
AP1M1,PIGR
AP1M1,RUNDC3A
AP1M1,TGOLN2
AP1M1,TIFA
AP1M2,AP1B1
AP1M2,AP1G1
AP1M2,AP1M1
AP1M2,AP1S1
AP1M2,AP2B1
AP1M2,GAK
AP1M2,LDLR
AP1M2,PVR
AP1M2,TGOLN2
AP2A1,DEK
AP2A1,GHR
AP2A1,RIT1
AP2A1,SHBG
AP2A1,SHC1
AP2A1,SMAD9
AP2A1,TOE1
AP2A2,AMPH
AP2A2,AP1S1
AP2A2,AP2B1
AP2A2,BIN1
AP2A2,DNM1
AP2A2,HTT
AP2A2,SHC1
AP2B1,AP1M1
AP2B1,AP2M1
AP2B1,ARRB1
AP2B1,ATP6V1G1
AP2B1,BUB1
AP2B1,DHX58
AP2B1,FAM46C
AP2B1,KIAA0408
AP2B1,LDLRAP1
AP2B1,NECAP2
AP2B1,NUP54
AP2B1,POM121
AP2B1,RIBC2
AP2B1,SMAD4
