TF,Target
AR,RPS18
AR,RRAD
AR,RRBP1
AR,RREB1
AR,RRM2
AR,RTKN
AR,CLIP1
AR,RTN1
AR,RTN2
AR,RYK
AR,RYR3
AR,S100A1
AR,SORT1
AR,S100A2
AR,S100A10
AR,S100A13
AR,VPS52
AR,SAFB
AR,SAG
AR,SAT1
AR,SATB1
AR,MSMO1
AR,ATXN1
AR,ATXN2
AR,ATXN7
AR,SCN2A
AR,SCN3A
AR,SCN5A
AR,SCN7A
AR,SCN9A
AR,SCN10A
AR,SCNN1A
AR,SCO1
AR,SCT
AR,SCTR
AR,SRL
AR,CCL20
AR,CXCL6
AR,CXCL5
AR,SDC2
AR,SDC4
AR,SDHB
AR,SEC14L1
AR,TRAPPC2
AR,SELPLG
AR,SEPW1
AR,MAP2K4
AR,SFPQ
AR,SFRP4
AR,SFRP5
AR,SRSF3
AR,SFSWAP
AR,TRA2B
AR,SGCD
AR,SGCG
AR,SGK1
AR,SCG5
AR,SGTA
AR,SH3BGRL
AR,ITSN1
AR,SH3GL1
AR,SHB
AR,SHC1
AR,FBXW4
AR,SIAH2
AR,ST3GAL2
AR,ST3GAL4
AR,ST3GAL3
AR,ST8SIA1
AR,STIL
AR,SIM1
AR,SIM2
AR,SIX1
AR,SKI
AR,SKIL
AR,SKP1
AR,SKP2
AR,SLA
AR,SLC1A2
AR,SLC1A3
AR,SLC4A3
AR,SLC1A5
AR,SLC2A1
AR,SLC2A2
AR,SLC2A5
AR,SLC3A1
AR,SLC4A2
AR,SMTN
AR,SLC5A3
AR,SLC6A6
AR,SLC7A1
AR,SLC8A1
AR,SLC9A1
AR,SLC9A5
AR,SLC12A2
AR,SLC12A3
AR,SLC16A1
AR,SLC16A2
AR,SLC20A1
AR,SLC20A2
AR,SLCO2A1
AR,SLC22A1
AR,SLC22A3
AR,SLC22A5
AR,SLIT1
AR,SLIT3
AR,SLN
AR,SNAI2
AR,SMARCA1
AR,SMARCA2
AR,HLTF
AR,SMARCC1
AR,SMPD2
AR,SMS
AR,SNAP25
AR,SNAPC1
AR,SNCA
AR,SNRPA1
AR,SNRPB2
AR,SNRPC
AR,SNRPE
AR,SNRPN
AR,SNTB1
AR,SNX1
AR,SOAT1
AR,SOD2
AR,SORD
AR,SORL1
AR,SOS1
AR,SOS2
AR,SOX4
AR,SOX5
AR,SOX9
AR,SOX11
AR,SOX12
AR,SP2
AR,SP3
AR,SP100
AR,SPAG1
AR,UAP1
AR,SPARC
AR,SPG7
AR,SPINK2
AR,SPOCK1
AR,SPTAN1
AR,SPTBN1
AR,SREBF2
AR,SRM
AR,SRP9
AR,SRP14
AR,SRP54
AR,SRP72
AR,SRPK2
AR,SSB
AR,SSFA2
AR,SSR3
AR,ST5
AR,STAT2
AR,STAT4
AR,STC1
AR,STIM1
AR,STK4
AR,CDKL5
AR,STK10
AR,STRN
AR,STXBP1
AR,STXBP3
AR,SUPT5H
