mir,gene
hsa-miR-195-5p,CAB39
hsa-miR-451a,CAB39
hsa-miR-133a-3p,CACNA1C
hsa-miR-15a-5p,CADM1
hsa-miR-16-5p,CADM1
hsa-miR-182-5p,CADM1
hsa-miR-214-3p,CADM1
hsa-miR-29a-3p,CALCR
hsa-miR-1-3p,CALM3
hsa-miR-675-5p,CALN1
hsa-miR-219a-5p,CAMK2G
hsa-miR-185-5p,CAMK4
hsa-miR-126-3p,Camsap1
hsa-miR-124-3p,CAMTA1
hsa-miR-129-5p,CAMTA1
hsa-miR-1-3p,CAND1
hsa-miR-16-5p,CAPRIN1
hsa-miR-223-3p,CAPRIN1
hsa-miR-146a-5p,CARD10
hsa-miR-146b-5p,Card10
hsa-miR-155-5p,CARD11
hsa-miR-155-5p,CARHSP1
hsa-miR-15a-5p,CARM1
hsa-miR-223-3p,CARM1
hsa-miR-203a-3p,CASK
hsa-miR-185-5p,CASP14
hsa-miR-708-5p,CASP2
hsa-let-7a-5p,CASP3
hsa-let-7g-5p,CASP3
hsa-miR-138-5p,CASP3
hsa-miR-30c-5p,CASP3
hsa-miR-30d-5p,CASP3
hsa-miR-363-3p,CASP3
hsa-miR-421,CASP3
hsa-miR-582-5p,CASP3
hsa-miR-885-5p,CASP3
hsa-miR-106a-5p,CASP7
hsa-miR-106b-5p,CASP7
hsa-miR-106b-5p,CASP8
hsa-miR-210-3p,CASP8AP2
hsa-miR-133a-3p,CASP9
hsa-miR-582-5p,CASP9
hsa-miR-135b-5p,CASR
hsa-miR-31-5p,CASR
hsa-miR-151a-5p,CASZ1
hsa-miR-30b-5p,CAT
hsa-miR-103a-3p,CAV1
hsa-miR-107,CAV1
hsa-miR-124-3p,CAV1
hsa-miR-192-5p,CAV1
hsa-miR-199a-5p,CAV1
hsa-miR-203a-3p,CAV1
hsa-miR-199a-3p,CAV2
hsa-miR-125b-5p,CBFB
hsa-miR-145-5p,CBFB
hsa-miR-150-5p,CBL
hsa-miR-188-3p,CBL
hsa-miR-98-5p,CBL
hsa-miR-203a-3p,CBLL1
hsa-miR-181b-5p,CBX7
hsa-miR-421,CBX7
hsa-miR-155-5p,CCDC41
hsa-miR-145-5p,CCDC43
hsa-miR-4448,CCDC88A
hsa-miR-148a-3p,CCKBR
hsa-miR-148b-3p,CCKBR
hsa-miR-152-3p,CCKBR
hsa-miR-17-5p,CCL1
hsa-miR-124-3p,CCL2
hsa-miR-21-5p,CCL20
hsa-miR-34a-5p,CCL22
hsa-miR-25-3p,CCL26
hsa-miR-223-3p,CCL3
hsa-miR-195-5p,CCL4
hsa-miR-146a-5p,CCL5
hsa-miR-214-3p,CCL5
hsa-let-7f-5p,CCL7
hsa-miR-92a-3p,CCL8
hsa-miR-372-3p,CCNA1
hsa-let-7b-5p,CCNA2
hsa-miR-10b-3p,CCNA2
hsa-miR-130b-3p,CCNA2
hsa-miR-132-3p,CCNA2
hsa-miR-146a-5p,CCNA2
hsa-miR-212-3p,CCNA2
hsa-miR-24-3p,CCNA2
hsa-miR-27b-3p,CCNA2
hsa-miR-132-3p,CCNB1
hsa-miR-212-3p,CCNB1
hsa-miR-548b-3p,CCNB1
hsa-let-7b-5p,CCND1
hsa-let-7e-5p,CCND1
hsa-let-7f-5p,CCND1
hsa-miR-106a-5p,CCND1
hsa-miR-106b-5p,CCND1
hsa-miR-138-5p,CCND1
hsa-miR-152-3p,CCND1
hsa-miR-155-5p,CCND1
hsa-miR-15a-5p,CCND1
hsa-miR-15b-5p,CCND1
hsa-miR-16-1-3p,CCND1
hsa-miR-16-5p,CCND1
hsa-miR-17-5p,CCND1
hsa-miR-193b-3p,CCND1
hsa-miR-195-5p,CCND1
hsa-miR-19a-3p,CCND1
hsa-miR-19b-1-5p,CCND1
hsa-miR-206,CCND1
hsa-miR-20a-5p,CCND1
hsa-miR-24-3p,CCND1
hsa-miR-27a-3p,CCND1
hsa-miR-29a-3p,CCND1
hsa-miR-302a-3p,CCND1
hsa-miR-302c-3p,CCND1
hsa-miR-338-3p,CCND1
hsa-miR-34a-5p,CCND1
hsa-miR-34b-3p,CCND1
hsa-miR-365a-3p,CCND1
hsa-miR-383-5p,CCND1
hsa-miR-424-5p,CCND1
hsa-miR-425-5p,CCND1
hsa-miR-449a,CCND1
hsa-miR-490-3p,CCND1
hsa-miR-503-5p,CCND1
hsa-miR-520b,CCND1
hsa-miR-603,CCND1
hsa-miR-708-5p,CCND1
hsa-miR-9-5p,CCND1
hsa-let-7a-5p,CCND2
hsa-let-7b-5p,CCND2
hsa-miR-106b-5p,CCND2
hsa-miR-124-3p,CCND2
hsa-miR-154-5p,CCND2
hsa-miR-15a-5p,CCND2
hsa-miR-17-5p,CCND2
hsa-miR-182-5p,CCND2
hsa-miR-191-5p,CCND2
hsa-miR-206,CCND2
hsa-miR-20a-5p,CCND2
hsa-miR-26a-5p,CCND2
hsa-miR-29a-3p,CCND2
hsa-miR-29b-3p,CCND2
hsa-miR-29c-3p,CCND2
hsa-miR-302b-3p,CCND2
hsa-miR-302d-3p,CCND2
hsa-miR-30c-5p,CCND2
hsa-miR-603,CCND2
hsa-miR-138-5p,CCND3
hsa-miR-16-5p,CCND3
hsa-miR-195-5p,CCND3
hsa-miR-424-5p,CCND3
hsa-miR-497-5p,CCND3
hsa-miR-503-5p,CCND3
hsa-miR-103a-3p,CCNE1
hsa-miR-151a-3p,CCNE1
hsa-miR-15a-5p,CCNE1
hsa-miR-15b-5p,CCNE1
hsa-miR-16-1-3p,CCNE1
hsa-miR-16-5p,CCNE1
hsa-miR-195-5p,CCNE1
hsa-miR-26a-5p,CCNE1
hsa-miR-26b-5p,CCNE1
hsa-miR-424-5p,CCNE1
hsa-miR-497-5p,CCNE1
hsa-miR-503-5p,CCNE1
hsa-miR-7-5p,CCNE1
hsa-miR-200a-3p,CCNE2
hsa-miR-200b-3p,CCNE2
hsa-miR-200c-3p,CCNE2
hsa-miR-26a-5p,CCNE2
hsa-miR-30b-5p,CCNE2
hsa-miR-34a-5p,CCNE2
hsa-miR-34b-5p,CCNE2
hsa-miR-34c-5p,CCNE2
hsa-miR-449a,CCNE2
hsa-miR-449b-5p,CCNE2
hsa-miR-503-5p,CCNE2
hsa-miR-424-5p,CCNF
hsa-miR-503-5p,CCNF
hsa-miR-122-5p,CCNG1
hsa-miR-9-5p,CCNG1
hsa-miR-125b-5p,CCNJ
hsa-miR-98-5p,CCNJ
hsa-miR-199b-5p,CCNL1
hsa-miR-198,CCNT1
hsa-miR-27b-3p,CCNT1
hsa-miR-142-3p,CCNT2
hsa-miR-29a-3p,CCNT2
hsa-miR-129-2-3p,CCP110
hsa-miR-150-5p,CCR6
hsa-miR-518a-3p,CCR6
hsa-let-7a-5p,CCR7
hsa-miR-124-3p,CD151
hsa-miR-152-3p,CD151
hsa-miR-22-3p,CD151
hsa-miR-506-3p,CD151
hsa-miR-19a-3p,CD22
hsa-miR-34a-5p,CD24
hsa-miR-124-3p,CD274
hsa-miR-214-3p,CD274
hsa-miR-29c-3p,CD274
hsa-miR-326,CD274
hsa-miR-34b-5p,CD274
hsa-miR-363-5p,CD274
hsa-miR-380-5p,CD274
hsa-miR-513a-5p,CD274
hsa-miR-570-3p,CD274
hsa-miR-593-3p,CD274
hsa-miR-601,CD274
hsa-miR-665,CD274
hsa-miR-708-5p,CD274
hsa-miR-885-3p,CD274
hsa-miR-940,CD274
hsa-miR-187-3p,CD276
hsa-miR-29a-3p,CD276
hsa-miR-145-5p,CD28
hsa-miR-125a-5p,CD34
hsa-miR-9-5p,CD34
hsa-miR-140-3p,CD38
hsa-miR-503-5p,CD40
hsa-miR-146a-5p,CD40LG
hsa-miR-143-3p,CD44
hsa-miR-145-5p,CD44
